atopid,year,onlyconsul,defcon,prob_det,dem_prop,dem_dich,wartime,offense,mem_num,mean_threat,max_threat,min_s_2cat,mean_s_2cat,defense,neutral,nonagg,consul,conditio,offcon,neucon,concon,h1_cat3,h2_cat3,h2_cat4,offense_tpm,consul_tpm,dem_prop_rawpolity,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10,mem11,mem12,mem13,mem14,mem15,mem16,mem17,mem18,mem19,mem20,mem21,mem22,mem23,mem24,mem25,mem26,mem27,mem28,mem29,mem30,mem31,mem32,mem33,mem34,mem35,mem36,mem37,mem38,mem39,mem40,mem41,mem42,mem43
1280,1866,0,0,0,0,0,0,1,2,.178801,.357602,.84615386,.84615386,1,0,0,0,0,0,0,0,1,1,2,1,0,0,245,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,1866,0,0,0,0,0,0,1,2,0,0,.93846154,.93846154,1,0,0,0,0,0,0,0,1,1,2,1,0,0,255,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,1866,0,0,0,0,0,0,1,2,0,0,.87692308,.87692308,1,0,0,0,0,0,0,0,1,1,2,1,0,0,255,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,1867,0,0,0,0,0,0,1,2,.20578749,.41157499,.82089549,.82089549,1,0,0,0,0,0,0,0,1,1,2,1,0,0,255,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,1870,0,0,0,0,0,1,1,2,.0849635,.169927,.7647059,.7647059,0,1,0,0,1,1,1,0,1,0,1,1,0,0,200,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,1870,0,0,0,0,0,1,1,2,0,0,.97058821,.97058821,0,1,0,0,1,1,1,0,1,0,1,1,0,0,200,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,1873,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,135,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,1873,0,1,0,0,0,0,0,2,0,0,.93220341,.93220341,1,0,0,0,1,0,0,0,1,2,3,0,0,0,255,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,1873,1,0,0,0,0,0,0,3,0,0,.83050847,.88700563,0,0,0,1,0,0,0,0,2,0,1,0,1,0,255,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,1877,0,0,0,0,0,0,0,2,0,0,.88135594,.88135594,0,1,0,0,1,0,1,0,1,0,1,0,0,0,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
